Tsiigehtchic,361,707,Northwest Territories,-133.692577,67.428576,0.0856123045
Tuktoyaktuk,375,691,Northwest Territories,-133.006161,69.425226,0.0237142556
Tulita,380,750,Northwest Territories,-125.461086,64.918596,0.0459718111
Ulukhaktok,434,703,Northwest Territories,-117.739521,70.762291,0.1021801701
Wekwet“,429,777,Northwest Territories,-114.187161,64.189099,0.0896333842
What“,412,783,Northwest Territories,-117.17707,63.164861,0.0262327555
Wrigley,382,772,Northwest Territories,-123.353609,63.194174,0.0382171919
Yellowknife,424,794,Northwest Territories,-114.405283,62.470857,0.0372980222
Cape Breton,805,867,Nova Scotia,-60.257309,46.009676,0.0631890011
Arctic Bay,548,681,Nunavut,-85.135787,73.06201,0.1098700928
Arviat,532,817,Nunavut,-94.168783,61.099562,0.0135744603
Baker Lake,519,783,Nunavut,-96.030823,64.32865,0.0344130224
Cambridge Bay,479,730,Nunavut,-105.170746,69.15279,0.0885084477
Cape Dorset,613,760,Nunavut,-76.540521,64.223745,0.1344086989
Chesterfield Inlet,547,791,Nunavut,-90.824756,63.311985,0.0809261033
Clyde River,613,685,Nunavut,-68.482168,70.463198,0.0672808253
Coral Harbour,582,773,Nunavut,-83.24778,64.173981,0.036842504
Gjoa Haven,516,736,Nunavut,-95.891228,68.644751,0.1179051887
Grise Fiord,544,643,Nunavut,-82.75446,76.492543,0.0281513312
Hall Beach,575,723,Nunavut,-81.262617,68.775034,0.0769224852
Igloolik,572,719,Nunavut,-81.681101,69.381658,0.20512806
Iqaluit,651,747,Nunavut,-68.510734,63.759806,0.0224044418
Kimmirut,650,759,Nunavut,-69.874179,62.849029,0.0254157873
Kugaaruk,542,734,Nunavut,-89.812168,68.532208,0.0848653898
Kugluktuk,434,737,Nunavut,-115.322312,67.805523,0.096771969
Pangnirtung,649,718,Nunavut,-65.682936,66.14361,0.0712394687
Pond Inlet,573,679,Nunavut,-77.750273,72.680822,0.120454394
Qikiqtarjuaq,646,701,Nunavut,-63.904204,67.544232,0.0769477424
Rankin Inlet,540,797,Nunavut,-92.132125,62.82999,0.1167666944
Repulse Bay,561,752,Nunavut,-86.318627,66.562765,0.0093430955
Resolute,515,669,Nunavut,-94.881804,74.719263,0.1069351015
Sanikiluaq,630,844,Nunavut,-79.211807,56.57108,0.0749307031
Taloyoak,525,725,Nunavut,-93.497227,69.555358,0.0520938318
Whale Cove,538,803,Nunavut,-92.836374,62.317859,0.0660041118
Ajax,678,963,Ontario,-79.027579,43.869094,0.385698753
Barrie,671,964,Ontario,-79.686726,44.369895,0.0540785024
Brampton,674,964,Ontario,-79.752248,43.715648,0.6700167122
Greater Sudbury / Grand Sudbury,653,946,Ontario,-81.044125,46.590349,0.0425567178
Guelph,670,964,Ontario,-80.23696,43.532777,0.9774985681
Kingston,698,954,Ontario,-76.455927,44.312563,0.0489874884
Markham,676,964,Ontario,-79.295015,43.881409,0.3558633507
Mississauga,674,964,Ontario,-79.662931,43.599395,0.7370599815
Oakville,674,964,Ontario,-79.723099,43.456122,0.8923090418
Oshawa,678,963,Ontario,-78.878227,43.948817,0.3012596757
Ottawa,699,943,Ontario,-75.775304,45.293177,0.0376512752
Richmond Hill,675,964,Ontario,-79.427451,43.9034,0.3754554374
Thunder Bay,584,945,Ontario,-89.309134,48.4269,0.0496947926
Toronto,676,964,Ontario,-79.390462,43.726574,0.5335206715
Vaughan,674,964,Ontario,-79.564782,43.836665,0.4806415812
Whitby,678,963,Ontario,-78.965228,43.933076,0.3123049036
Gatineau,699,940,Quebec,-75.658462,45.49093,0.0390610085
Ivujivik,615,782,Quebec,-77.860408,62.403611,0.0986881614
Kangiqsujuaq,647,777,Quebec,-72.018898,61.576578,0.0283566512
Kangirsuk,665,786,Quebec,-70.026525,60.004484,0.0403840783
Laval,713,932,Quebec,-73.725743,45.604849,0.0378764039
Longueuil,716,932,Quebec,-73.433576,45.509332,0.0253709913
LŽvis,726,913,Quebec,-71.235574,46.706685,0.053354832
MontrŽal,714,933,Quebec,-73.648045,45.532432,0.0321998567
Puvirnituq,627,804,Quebec,-77.275036,60.047734,0.0331117256
Quaqtaq,662,776,Quebec,-69.579577,61.035674,0.0858294069
QuŽbec,725,912,Quebec,-71.335423,46.855108,0.0284946808
Saguenay,719,897,Quebec,-71.13248,48.372239,0.0400295528
Salluit,626,780,Quebec,-75.63294,62.201489,0.1026471549
Sherbrooke,720,926,Quebec,-71.961521,45.40184,0.8341755706
Terrebonne,713,931,Quebec,-73.686376,45.733325,0.0124417242
Trois-Rivires,718,921,Quebec,-72.614284,46.369679,0.0171270826
Estevan,477,945,Saskatchewan,-102.985601,49.142833,0.0943011854
Lloydminster,430,896,Saskatchewan,-109.985517,53.283374,0.0440757678
Moose Jaw,461,928,Saskatchewan,-105.549831,50.397457,0.4912067702
North Battleford,441,903,Saskatchewan,-108.281062,52.76945,0.0442362831
Prince Albert,459,901,Saskatchewan,-105.697372,53.215338,0.0654286958
Regina,465,930,Saskatchewan,-104.620173,50.45428,0.0605113165
Saskatoon,452,911,Saskatchewan,-106.640718,52.141318,0.0693538422
Weyburn,470,938,Saskatchewan,-103.850591,49.664739,0.1086257658
Yorkton,481,924,Saskatchewan,-102.466305,51.214482,0.055849249
Beaver Creek,300,730,Yukon,-140.893188,62.3799,0.0448781121
Carcross,312,770,Yukon,-134.715635,60.176741,0.0134086161
Carmacks,317,748,Yukon,-136.256773,62.10014,0.0370330613
Dawson,317,722,Yukon,-139.389336,64.046397,0.0584633528
Faro,331,756,Yukon,-133.35555,62.214184,0.0567647817
Haines Junction,303,755,Yukon,-137.509081,60.770934,0.0632910422
Ibex Valley,312,761,Yukon,-135.629395,60.836889,0.0213762968
Macpherson-Grizzly Valley,314,760,Yukon,-135.402255,61.033494,0.0523341948
Marsh Lake,316,768,Yukon,-134.308269,60.487197,0.0636828668
Mayo,328,736,Yukon,-135.896133,63.596525,0.0520292813
Mt. Lorne,313,767,Yukon,-134.927907,60.417408,0.056931962
Old Crow,340,691,Yukon,-139.823022,67.570307,0.0499803175
Pelly Crossing,320,741,Yukon,-136.580398,62.820768,0.0547681468
Ross River,333,761,Yukon,-132.450554,61.971803,0.0443363991
Tagish,315,770,Yukon,-134.286634,60.281616,0.0493220946
Teslin,322,776,Yukon,-132.714049,60.172925,0.0533794963
Teslin Post 13,322,776,Yukon,-132.74012,60.17078,0.0675159833
Upper Liard,340,789,Yukon,-128.916844,60.053078,0.06520406
Watson Lake,341,789,Yukon,-128.6932,60.06202,0.0256986303
Whitehorse,314,764,Yukon,-135.069058,60.702927,0.0414339312
Whitehorse: Unorganized,313,766,Yukon,-135.045549,60.546773,0.0630621038
Yukon: Unorganized,330,737,Yukon,-135.518956,63.683757,0.0571084248
